, InstallationID , InstallationType , PanelType      , Capacity (kW) , EnergyProduced (kWh) , MaintenanceFrequency (months) , Cost (₹) , Region        , Latitude , Longitude , TypeOfInstallation     , InstallerName  , WarrantyYears , AnnualSavings (₹) 
0, S001           ,2,0,5,600,12,50000,4,19.076,72.8777,1,2,25,8000
1, S003           ,2,2,80,10500,5,576418,6,10.8505,75.7837,0,0,21,126416
2, S010           ,0,1,57,6330,6,272176,7,22.1553,75.2947,0,2,20,70083
3, S010           ,2,0,17,2215,24,67349,2,13.2881,74.3315,0,3,24,24414
4, S006           ,1,2,81,10326,7,462437,9,16.2721,74.9504,1,0,23,119776
5, S006           ,1,2,92,9528,7,596834,5,20.5553,85.3557,1,0,20,129536
6, S010           ,2,0,6,1835,21,56000,6,20.8223,74.8635,1,3,23,112276
7, S004           ,2,0,6,720,21,56000,8,23.2999,77.349,0,3,25,10000
8, S010           ,1,2,99,2005,22,56000,8,10.8505,77.9057,1,3,24,10000
9, S004           ,2,0,11,720,22,56000,3,10.8505,75.8811,0,3,24,10000
10, S010           ,1,1,89,9231,6,519971,0,25.1243,71.1924,1,0,20,54971
11, S009           ,1,0,17,1200,21,65995,3,10.8505,77.478,0,1,23,10000
12, S004           ,2,0,13,720,23,68177,3,14.111,74.0264,0,3,24,10000
13, S005           ,0,1,37,4655,7,266113,0,28.6139,73.0008,0,2,18,48641
14, S003           ,1,2,87,8666,6,598439,5,24.6747,72.9213,1,1,21,112308
15, S009           ,2,2,83,733,5,331696,7,10.9939,77.0992,1,0,24,10641
16, S005           ,0,1,45,4788,6,358444,7,21.6857,78.0283,1,1,21,55317
17, S009           ,0,1,14,1424,24,65611,7,10.8505,71.2743,0,2,22,10000
18, S010           ,0,0,8,1629,24,269063,2,22.5411,77.4282,1,3,23,17033
19, S008           ,0,1,40,720,5,276343,5,24.762,73.0359,0,3,19,73551
20, S005           ,0,1,44,4736,7,252722,0,28.6139,74.7187,1,0,19,68863
21, S004           ,2,0,8,2342,17,121339,2,15.3193,71.6578,1,3,23,119585
22, S006           ,1,2,100,9587,6,640830,9,16.8787,80.8827,1,0,20,113444
23, S009           ,1,2,100,10500,6,669134,5,20.0513,79.5157,1,0,22,105149
24, S005           ,2,0,12,720,24,109049,0,17.56,73.067,0,2,23,26307
25, S009           ,2,2,80,9360,5,594078,9,19.8507,81.7707,1,0,19,130558
26, S007           ,2,0,9,1643,20,56000,2,12.9432,76.755,1,0,23,10000
27, S006           ,1,2,100,10500,5,672773,6,18.8682,85.1307,1,0,20,109096
28, S003           ,1,2,100,10163,5,700000,0,22.9189,73.5792,1,0,20,147322
29, S002           ,0,1,40,5449,7,288249,0,21.0601,74.5333,0,1,19,72857
30, S005           ,1,1,50,4441,6,327018,7,23.7903,76.3586,1,0,20,62913
31, S009           ,0,1,45,5336,6,260645,7,28.2342,77.6215,1,2,19,67241
32, S009           ,1,2,95,10330,4,474724,9,21.2423,86.4939,1,0,21,106952
33, S009           ,1,2,85,9943,5,623005,9,10.8505,83.6789,1,0,18,136708
34, S006           ,0,1,51,6065,5,272749,6,24.3576,72.017,1,1,19,73727
35, S007           ,0,1,42,2138,18,270885,7,14.3467,71.7908,0,0,21,10000
36, S009           ,0,1,46,5320,5,321462,0,27.57,71.1924,1,2,19,80188
37, S008           ,0,1,58,5510,7,303588,0,24.481,71.1924,0,1,18,58607
38, S008           ,0,0,13,720,24,67670,1,10.8505,71.1924,0,3,22,14577
39, S010           ,1,2,94,720,20,653290,0,11.5613,76.6545,1,3,25,136271
40, S008           ,0,1,51,5368,5,329989,0,24.8367,73.1151,1,1,18,63853
41, S005           ,2,2,40,1543,7,56011,7,22.5717,72.5966,1,0,18,65629
42, S009           ,1,2,82,8305,7,525327,2,21.8036,85.8515,0,0,21,110195
43, S006           ,0,2,49,5720,6,273001,7,24.4604,73.7475,0,1,19,57997
44, S005           ,2,1,6,1786,24,81864,0,12.8734,75.5338,0,3,23,56566
45, S002           ,2,0,9,2038,19,56000,3,24.5768,78.8354,1,3,24,10000
46, S007           ,0,2,41,5074,6,259642,1,24.9871,75.2978,1,2,20,60698
47, S006           ,1,2,98,8159,5,539874,5,21.83,80.413,1,0,18,97217
48, S008           ,0,1,41,5448,5,307315,6,13.7124,73.9964,0,1,20,58013
49, S008           ,0,1,42,4990,6,251620,1,21.8077,73.8047,0,2,19,55217
50, S006           ,1,2,85,8105,5,531953,6,22.0972,79.8538,1,0,20,119442
51, S005           ,0,1,91,10457,5,700000,8,21.5908,76.9428,0,0,19,74170
52, S002           ,0,1,50,5241,5,256127,1,28.6139,71.5593,1,1,18,78464
53, S003           ,2,2,99,5144,7,519365,5,10.8505,77.7571,1,3,21,126763
54, S006           ,1,2,93,10473,6,647374,6,17.8448,71.9329,1,0,19,141700
55, S007           ,0,2,46,5072,8,286625,6,22.9286,77.297,1,2,20,51617
56, S004           ,1,2,53,2406,19,56000,2,25.014,74.0971,1,1,24,10000
57, S005           ,0,1,38,5290,6,251856,7,24.4282,74.9813,1,0,19,57264
58, S010           ,2,0,13,2102,20,77787,3,10.8505,73.4929,0,3,24,10786
59, S003           ,2,0,20,720,16,56000,6,10.8505,79.7567,1,3,22,19322
60, S004           ,2,2,85,9080,18,517871,9,10.8505,84.2068,1,0,24,10000
61, S004           ,0,1,49,6458,22,244276,3,24.2915,74.3992,0,1,18,55495
62, S005           ,1,1,43,5491,7,292343,2,26.7803,73.3838,0,2,19,60109
63, S002           ,0,1,49,5161,6,322731,0,13.4965,71.1924,0,1,19,55520
64, S008           ,0,1,46,5820,7,356279,0,16.4628,72.6815,0,2,19,61906
65, S010           ,2,0,17,2213,21,71728,6,10.8505,74.3828,1,3,23,11113
66, S006           ,0,2,86,8800,6,700000,7,20.2754,75.0309,0,0,18,120663
67, S008           ,1,0,99,10500,13,687172,2,25.7705,77.1096,0,0,24,117343
68, S006           ,2,0,7,5168,16,297141,0,17.1741,78.7535,0,1,24,66992
69, S002           ,0,1,44,4664,6,337882,0,10.8505,71.1924,0,1,19,66221
70, S008           ,1,1,53,5913,4,290157,7,27.4714,80.6403,0,2,19,57298
71, S006           ,1,2,87,10057,6,575840,8,23.2069,78.5418,1,0,23,114260
72, S010           ,2,0,14,1664,18,56000,2,10.8505,74.9248,0,3,24,10000
73, S010           ,2,0,9,847,21,56000,2,14.225,78.5274,1,3,23,10154
74, S008           ,0,0,47,5681,16,56000,7,25.6659,73.6611,0,1,19,64081
75, S006           ,0,1,42,5422,6,276237,2,28.6139,75.2975,0,1,18,48451
76, S007           ,2,1,15,1336,19,95384,6,11.3267,75.2693,0,3,23,16339
77, S006           ,1,2,96,10500,6,689969,8,18.1713,87.4826,1,0,19,127553
78, S010           ,0,1,50,1142,5,323186,2,11.1071,73.7799,0,1,23,58159
79, S007           ,1,1,91,10182,7,304287,5,14.8753,76.2267,1,0,20,115797
80, S008           ,2,1,6,720,21,56000,9,11.5257,75.3739,0,3,23,25248
81, S003           ,0,2,83,9960,6,585989,0,11.4649,77.1032,0,0,20,57408
82, S007           ,2,0,17,720,17,80512,2,10.8505,72.7376,1,3,24,18294
83, S004           ,2,0,14,1706,21,56000,2,13.335,71.1924,1,3,24,10000
84, S008           ,0,1,47,4966,8,258173,0,12.3914,75.8341,0,2,20,72259
85, S003           ,2,1,10,1222,19,56000,2,12.104,77.185,0,2,22,10000
86, S004           ,0,0,54,6519,5,323451,5,15.3418,73.4878,0,2,20,66179
87, S006           ,1,1,42,4939,14,321124,8,10.8505,75.1061,1,0,18,48622
88, S007           ,0,1,43,5514,8,268993,0,27.4308,73.959,0,2,18,69905
89, S005           ,1,2,49,9251,6,461977,9,22.4359,75.33,1,0,19,124872
90, S009           ,1,2,97,9105,5,590993,6,10.8505,87.855,1,0,23,142072
91, S002           ,0,0,6,5606,13,56000,7,10.8505,75.2299,0,3,25,20079
92, S007           ,0,1,40,5564,6,299737,7,10.8505,74.7056,0,1,18,66254
93, S010           ,2,0,6,984,21,77055,3,10.8505,77.252,0,3,21,10000
94, S007           ,2,0,8,720,19,56000,3,10.8505,76.25,1,3,22,12130
95, S005           ,2,0,7,5476,21,300695,2,10.8505,79.0663,0,3,22,10000
96, S007           ,0,0,6,960,19,56000,8,23.0054,76.0745,0,2,23,14890
97, S009           ,0,0,7,1504,17,56507,5,14.8839,77.1979,1,3,23,20169
98, S002           ,0,1,42,4689,8,267533,1,21.5381,73.9437,0,3,18,127162
99, S005           ,0,0,6,2334,20,247902,3,10.8505,79.0818,0,1,24,50087
100, S006           ,2,0,6,1053,19,84613,8,13.9305,79.4995,1,0,23,15082
101, S007           ,2,0,43,5281,6,281703,0,11.1719,74.8268,0,2,19,66752
102, S006           ,1,2,76,9880,7,698392,9,19.9305,86.5274,1,0,20,126518
103, S005           ,0,1,49,4783,7,297233,0,22.6919,71.1924,0,1,19,71586
104, S007           ,2,2,16,2322,22,56000,0,15.358,75.1901,1,3,23,10000
105, S006           ,1,2,92,8875,6,520507,8,22.1652,81.0895,1,0,20,138418
106, S006           ,1,1,53,5101,6,577464,0,23.3168,77.2092,1,1,19,52407
107, S004           ,2,0,8,2284,18,56000,2,10.8505,74.0676,1,3,24,18351
108, S003           ,2,2,97,8516,5,561763,6,10.8505,82.3424,1,3,25,18191
109, S006           ,0,1,100,10500,6,522680,9,21.5872,72.4734,0,0,21,128020
110, S005           ,0,1,50,5129,8,340775,7,23.9525,74.4192,0,1,20,69117
111, S008           ,2,0,87,1227,5,552308,1,22.6793,71.1924,0,3,22,10000
112, S009           ,2,0,7,1130,23,56000,3,10.8505,75.7416,0,3,23,13176
113, S003           ,1,1,84,9773,8,602631,8,10.8505,71.1924,1,0,20,103902
114, S003           ,1,2,100,9284,5,521692,1,19.6116,75.4224,0,0,20,130117
115, S007           ,2,0,18,2022,19,118087,8,10.8505,71.6783,0,3,24,10000
116, S010           ,2,0,24,1251,22,56000,2,14.9584,73.2193,1,3,24,10000
117, S009           ,0,2,44,10500,5,293168,1,23.0857,77.3831,0,0,20,60240
118, S008           ,0,1,50,4765,7,272126,2,12.3737,79.2099,1,2,19,70007
119, S008           ,2,0,6,731,6,56000,5,10.8505,79.2516,1,2,23,10970
120, S007           ,2,0,9,1019,19,72034,8,10.8505,78.3316,1,3,22,10000
121, S005           ,0,1,53,5688,8,358344,0,26.2689,72.2651,0,1,19,61812
122, S009           ,1,2,100,1751,6,59059,7,10.8505,76.9816,1,1,19,121773
123, S009           ,1,0,84,1042,5,539295,5,21.9782,73.7096,0,0,20,140612
124, S008           ,0,2,49,6410,5,315437,0,26.8791,75.5733,0,1,19,54896
125, S002           ,0,1,43,5685,5,285862,0,10.8505,74.5883,0,1,18,68517
126, S010           ,2,0,8,1330,24,56000,2,10.8505,75.422,0,3,23,10000
127, S007           ,2,0,10,799,19,56000,2,16.662,77.798,0,3,23,10000
128, S005           ,0,1,49,9921,6,575012,6,10.9764,76.9541,1,2,20,119417
129, S005           ,1,2,76,1466,5,502227,2,11.0286,83.0266,0,3,19,107359
130, S004           ,2,0,14,2061,18,56653,2,10.8505,75.1503,0,3,23,10000
131, S004           ,0,0,93,9471,5,617621,9,19.8536,71.6638,0,0,24,118586
132, S007           ,0,1,6,2265,24,56000,7,12.5746,76.2513,0,2,24,10000
133, S009           ,1,2,98,8560,5,670561,6,17.9692,84.9206,1,0,20,143190
134, S003           ,2,2,12,9975,16,305218,2,13.0776,72.9873,0,3,24,24608
135, S003           ,0,1,48,5354,4,291313,7,25.3854,76.952,1,1,20,23678
136, S008           ,0,1,46,6143,5,296443,1,23.5762,71.1924,0,1,18,55641
137, S004           ,2,0,89,2356,21,56184,3,10.8505,75.5311,0,0,23,10000
138, S009           ,2,2,6,1259,18,613251,2,10.8505,77.0292,1,3,22,24024
139, S009           ,1,2,93,10500,6,576026,9,23.5095,79.6289,1,0,19,122552
140, S010           ,1,2,96,7418,6,612868,5,28.6139,75.63,0,2,20,123220
141, S003           ,0,2,49,5940,6,269605,0,22.1068,73.4677,1,1,18,59507
142, S007           ,0,2,49,2296,5,257228,8,23.5791,73.1987,0,2,20,10000
143, S002           ,0,0,57,1373,5,290919,0,12.9373,71.1924,0,2,19,64259
144, S006           ,1,2,100,5581,6,597982,9,22.9542,77.6475,1,0,20,118789
145, S007           ,2,1,83,10400,7,265611,8,24.1056,78.9451,0,1,20,60074
146, S003           ,2,2,15,2344,14,56000,0,10.8505,75.0562,0,3,23,16908
147, S009           ,0,2,96,10155,19,628121,0,10.8505,78.3788,1,3,23,100046
148, S003           ,1,2,100,9278,4,683694,0,22.3914,76.2841,1,0,20,135787
149, S007           ,2,0,24,2286,21,56000,8,12.1246,75.0698,0,3,24,18756
150, S003           ,0,1,96,10500,4,478788,0,25.1349,77.4054,0,1,21,73676
151, S010           ,1,0,84,1356,18,91404,7,15.2835,79.1688,1,2,24,13114
152, S003           ,1,2,94,5743,5,615635,0,24.1068,74.91,0,0,19,62179
153, S006           ,2,0,95,9389,8,322391,3,14.7302,75.0967,1,2,21,57823
154, S005           ,2,0,6,1806,16,56000,3,19.0965,72.2692,1,3,21,10000
155, S005           ,0,1,48,6144,5,326330,0,21.8749,72.5555,0,2,18,62124
156, S006           ,0,1,39,5741,6,259280,0,25.9258,77.0136,0,1,21,60429
157, S005           ,2,0,49,1548,19,56000,6,24.4696,76.0855,1,3,20,61652
158, S005           ,0,1,55,5859,7,330597,9,12.1364,72.2589,0,1,21,61546
159, S005           ,0,1,47,6101,8,326834,0,26.7754,75.9422,1,2,18,51770
160, S002           ,0,1,14,6019,4,298195,8,10.8505,74.9892,0,1,20,74319
161, S005           ,0,1,45,5570,6,302879,0,23.7517,75.3462,0,2,22,65630
162, S009           ,2,2,96,9798,6,582753,8,19.3928,77.0387,1,0,20,147543
163, S010           ,0,1,50,4768,22,277377,0,10.8505,73.5672,0,1,19,10000
164, S010           ,1,0,6,1601,19,56000,8,15.1912,84.7604,1,3,22,10000
165, S008           ,0,1,41,1552,7,109043,3,13.6067,73.5757,1,1,19,66558
166, S002           ,0,1,46,5609,8,310998,0,22.1285,73.5299,0,3,20,63725
167, S007           ,2,0,6,1344,23,56000,8,11.957,75.1779,0,3,25,10000
168, S008           ,0,1,34,5434,8,299086,2,24.7243,74.9417,0,1,18,70008
169, S010           ,2,0,23,1821,20,78937,2,24.0079,73.9795,0,3,21,10000
170, S007           ,1,2,95,10424,5,684043,9,23.1736,77.4588,0,2,20,116680
171, S003           ,1,1,100,10500,7,473545,0,23.7525,81.1548,1,0,21,106309
172, S008           ,0,1,47,4605,8,338215,7,16.4357,73.5829,0,2,20,64789
173, S002           ,0,1,59,5592,8,279477,0,12.3914,73.2891,1,1,18,62423
174, S005           ,1,2,87,10500,7,564441,5,21.5449,87.855,0,0,20,104029
175, S006           ,1,2,82,10500,5,627803,5,23.1695,81.5272,0,0,20,117408
176, S010           ,2,0,27,2859,21,56000,3,10.8505,73.9285,0,3,24,10000
177, S004           ,2,0,13,2101,23,56000,3,12.7,75.7664,0,3,25,10000
178, S010           ,2,0,16,2287,24,56000,2,10.8505,77.1515,0,3,25,10000
179, S007           ,1,2,100,10500,6,56000,9,22.024,74.3196,1,0,25,119327
180, S007           ,2,1,44,5321,17,479733,8,26.3638,76.1695,1,3,23,122272
181, S009           ,1,2,94,8681,7,567513,5,22.5404,76.2173,1,2,18,100492
182, S010           ,0,2,81,9505,4,654659,5,21.6299,78.6836,1,2,20,121104
183, S005           ,2,0,53,1325,5,269642,0,10.8505,73.8927,0,2,22,55729
184, S007           ,1,1,91,5870,5,655268,3,10.8505,77.9703,0,3,20,66226
185, S006           ,1,2,89,8183,5,631663,3,23.7552,76.1578,0,0,20,150000
186, S003           ,1,2,97,10049,6,485350,9,21.6631,87.855,1,0,20,105627
187, S005           ,2,0,10,1771,21,56000,2,10.9592,75.7797,0,3,24,27671
188, S009           ,0,2,40,9625,5,241610,6,25.4597,72.3735,1,0,20,67087
189, S003           ,2,2,75,10280,6,435943,2,10.8505,75.8621,0,0,23,121135
190, S010           ,2,0,17,834,16,56000,3,17.0202,75.3723,0,3,24,10000
191, S005           ,0,2,98,10400,6,458375,5,23.6913,83.2268,0,0,19,65551
192, S008           ,0,1,49,5408,6,278591,5,27.019,76.2125,0,2,19,64116
193, S009           ,1,2,88,10173,4,560966,9,24.4201,86.1006,0,0,24,115104
194, S008           ,0,1,45,4353,8,375241,7,12.1502,74.5891,0,1,18,81338
195, S005           ,2,0,50,6519,7,308198,1,28.0402,74.7444,0,1,19,62687
196, S008           ,0,1,45,6231,6,315366,7,27.0445,76.9509,0,2,20,70994
197, S008           ,0,0,46,4750,20,119429,2,15.2011,72.6999,0,3,21,61254
198, S004           ,0,1,6,5467,23,320162,6,10.8505,75.4439,1,1,23,60868
199, S003           ,0,1,47,4069,6,314987,0,26.0701,75.1905,0,1,18,67459
200, S006           ,1,2,14,9169,15,496716,0,26.2385,78.0506,1,3,24,10000
201, S004           ,2,1,44,1008,5,56000,8,11.4688,76.7299,1,2,19,66418
202, S008           ,0,1,51,5260,6,255774,7,12.6442,73.6285,0,1,20,60828
203, S007           ,2,0,6,1813,14,70808,6,10.8505,75.5659,1,0,21,10000
204, S008           ,0,1,41,4973,7,313506,7,11.4759,76.1643,1,1,19,55298
205, S007           ,1,1,84,10388,5,305204,8,23.0611,75.7059,0,0,20,71272
206, S007           ,2,1,6,1642,9,79151,0,14.6351,76.6272,1,3,24,15658
207, S004           ,0,1,45,5994,24,309490,3,10.8505,76.5312,1,1,20,73684
208, S007           ,2,0,11,1754,17,90921,3,15.3181,75.359,0,3,23,10000
209, S002           ,0,1,52,1252,24,358534,2,13.2365,74.7843,0,1,18,65549
210, S004           ,2,0,24,720,23,56000,3,22.8622,74.5819,0,3,23,10000
211, S007           ,0,1,43,5046,7,304236,7,16.8865,75.6373,1,3,20,68841
212, S009           ,1,2,98,10141,5,578350,9,22.2153,78.3638,1,0,19,131831
213, S009           ,0,1,93,4795,6,666820,7,20.0926,82.0762,1,0,18,110974
214, S006           ,1,2,86,10320,4,530596,6,22.1849,85.2865,1,0,18,135212
215, S003           ,1,2,100,10194,4,700000,9,20.9628,87.855,1,0,22,113170
216, S004           ,2,0,15,1819,23,56000,8,14.5538,76.7335,0,3,25,23960
217, S003           ,1,2,86,10500,5,582219,9,10.8505,80.0362,1,0,24,124079
218, S007           ,1,2,100,8643,5,532718,1,10.8505,75.9774,0,0,20,112628
219, S004           ,2,0,6,720,21,125088,3,14.1858,77.3596,0,3,25,11409
220, S006           ,0,1,98,8903,6,480499,3,23.6408,74.981,0,0,19,122391
221, S010           ,2,0,20,749,23,56000,3,13.6184,76.5267,0,3,24,10000
222, S006           ,2,0,6,1252,20,264768,2,10.8505,75.3601,0,3,23,10000
223, S002           ,0,1,40,5463,7,326500,1,25.6953,75.8429,0,1,19,55568
224, S007           ,0,0,14,5021,7,56000,6,21.646,76.367,0,3,21,19340
225, S005           ,0,0,49,5433,5,56000,7,13.7158,77.9717,0,1,20,58397
226, S002           ,2,0,6,1683,18,67378,7,26.3382,75.6801,0,3,24,10000
227, S009           ,1,2,93,8204,7,558824,9,22.0798,87.664,1,0,22,101737
228, S008           ,0,1,38,5630,8,364472,8,13.4314,74.91,0,2,18,57879
229, S007           ,1,2,75,10294,6,584669,5,20.0231,75.4094,1,0,20,103555
230, S004           ,2,0,16,2083,19,56000,7,14.9084,77.5491,0,3,25,11169
231, S008           ,1,2,89,10500,21,608630,8,17.0259,76.2728,0,0,22,131856
232, S010           ,2,0,13,1245,23,62484,2,11.4801,74.9167,0,3,21,10000
233, S010           ,2,0,6,1115,24,56000,0,10.8505,75.5635,0,3,24,10000
234, S007           ,1,1,44,1548,24,61374,8,12.9069,75.8011,0,3,20,61598
235, S007           ,0,1,39,6379,5,305557,0,25.295,74.1852,0,1,19,67582
236, S008           ,1,0,53,4497,8,542821,5,23.2389,78.4954,1,2,19,63867
237, S006           ,1,2,7,2362,7,56000,1,12.4689,77.8743,0,0,23,129866
238, S008           ,0,1,41,5103,5,336132,0,23.0632,71.1924,1,1,18,55967
239, S007           ,2,0,13,2001,15,76226,8,15.0283,76.7452,0,3,25,23896
240, S003           ,1,1,91,5409,6,682430,6,22.8384,76.406,1,0,23,136447
241, S003           ,1,2,91,10109,6,515598,1,11.4827,76.1379,1,0,20,115681
242, S010           ,2,0,13,2003,16,58081,8,10.8505,76.8734,1,3,25,11341
243, S007           ,0,1,61,6054,7,293924,7,13.0623,73.7323,0,1,19,58283
244, S005           ,2,0,6,1289,5,105617,0,13.7683,75.8009,1,3,23,12799
245, S007           ,2,0,15,1490,19,64168,8,10.8505,76.1403,0,3,25,10000
246, S007           ,2,0,20,1633,14,56000,2,10.8505,76.3989,0,3,24,16906
247, S006           ,1,2,84,10500,5,559980,6,25.1964,71.2397,1,0,19,107261
248, S009           ,1,2,89,10147,6,599483,9,10.8505,76.6934,0,1,19,115278
249, S007           ,2,0,6,720,17,56000,7,11.1397,75.8001,1,3,22,10000
250, S003           ,0,1,46,3808,6,273929,5,22.1776,76.967,1,3,20,13705
251, S010           ,2,1,7,1668,20,279831,0,10.8505,77.8818,1,3,22,10000
252, S006           ,1,2,95,8503,6,566578,7,22.2609,84.3256,1,0,23,124512
253, S003           ,1,0,45,10500,7,530672,2,20.8324,71.1924,0,0,20,70452
254, S004           ,2,0,6,720,24,74546,1,11.5384,76.5195,0,3,24,10000
255, S007           ,0,1,17,2100,5,127838,8,14.5278,72.8829,0,3,24,10000
256, S002           ,2,1,10,1477,23,56000,6,10.8505,71.1924,0,3,22,120764
257, S008           ,0,1,42,5583,5,301562,0,10.8505,71.4335,0,2,18,49410
258, S005           ,1,1,44,10500,6,202972,7,10.8505,76.0178,0,0,21,134154
259, S002           ,0,1,50,5562,5,321400,5,26.3799,73.9804,0,1,18,70722
260, S010           ,2,0,10,2762,24,56000,8,13.9207,74.0422,1,3,23,10518
261, S004           ,1,2,85,2092,7,609992,9,10.8505,75.775,1,0,25,123158
262, S010           ,0,1,53,4670,7,259289,0,23.0409,75.5945,0,1,19,59523
263, S005           ,0,1,37,5595,6,121787,2,20.2233,75.1882,0,3,21,10000
264, S006           ,2,2,98,10407,5,56000,6,20.3993,74.558,1,0,19,122963
265, S008           ,1,2,91,8357,6,552922,9,15.5436,87.855,0,2,20,110656
266, S002           ,0,1,50,6245,8,283916,7,28.6139,73.5867,0,2,18,73416
267, S009           ,1,0,97,8836,6,659631,5,22.9228,81.54,1,0,20,101649
268, S005           ,0,1,39,6261,7,371081,2,10.8505,71.1924,0,2,20,68640
269, S008           ,0,1,37,5692,7,301842,0,14.7601,74.3278,0,1,18,53799
270, S002           ,0,1,39,4973,6,289693,1,24.4221,77.4424,0,2,18,64055
271, S004           ,2,0,9,5149,15,685505,5,22.8095,73.1783,1,3,24,10000
272, S010           ,2,0,91,1220,17,56000,5,12.9952,71.8675,0,3,25,117857
273, S004           ,2,0,9,1814,17,56000,2,10.8505,73.9802,1,3,24,10000
274, S007           ,0,2,82,10500,5,587984,6,23.2667,76.0651,0,0,21,141720
275, S008           ,1,2,90,10500,6,584156,6,20.7159,75.9851,1,0,20,115689
276, S005           ,1,1,50,4777,14,321928,7,12.5597,73.9707,0,3,19,67828
277, S010           ,2,0,9,1755,20,56000,9,14.2085,72.4446,0,3,24,10000
278, S003           ,1,2,98,9637,4,530492,9,20.0832,76.8027,1,0,24,99539
279, S010           ,1,2,99,10015,6,561324,9,21.8747,76.805,0,0,20,121612
280, S010           ,2,0,15,1957,24,56000,3,12.1171,78.1792,0,3,22,10175
